active_through,candidate_id,candidate_inactive,candidate_status,cycles,district,district_number,election_districts,election_years,federal_funds_flag,first_file_date,has_raised_funds,inactive_election_years,incumbent_challenge,incumbent_challenge_full,last_f2_date,last_file_date,load_date,name,office,office_full,party,party_full,state
2026,S6TX00420,False,N,[2026],00,0.0,['00'],[2026],False,2025-06-23,False,,C,Challenger,2025-06-23,2025-06-23,2025-06-30T20:58:43,"CAIN, JOSHUA",S,Senate,IND,INDEPENDENT,TX
2026,S6ME00316,False,C,[2026],00,0.0,['00'],[2026],False,2025-03-10,True,,C,Challenger,2025-03-10,2025-03-10,2026-01-30T21:02:20,"CALABRESE, CARMEM VINCENT MR.",S,Senate,REP,REPUBLICAN PARTY,ME
2026,S6ME00324,False,C,[2026],00,0.0,['00'],[2026],False,2025-03-13,True,,C,Challenger,2025-03-13,2025-03-13,2026-01-30T21:02:20,"CALABRESE, CARMEN VINCENT MR.",S,Senate,REP,REPUBLICAN PARTY,ME
2026,S6CO00523,False,N,[2026],00,0.0,['00'],[2026],False,2026-01-07,False,,C,Challenger,2026-01-07,2026-01-07,2026-01-13T21:02:51,"CALDERON, AMANDA J JILLIAN MRS",S,Senate,REP,REPUBLICAN PARTY,CO
2026,S6NJ00354,False,N,[2026],00,0.0,['00'],[2026],False,2025-11-05,False,,C,Challenger,2025-11-05,2025-11-05,2025-11-13T21:02:32,"CALLAHAN, SAXON",S,Senate,DEM,DEMOCRATIC PARTY,NJ
2026,S6KY00237,False,C,[2026],00,0.0,['00'],[2026],False,2025-02-21,True,,O,Open seat,2025-02-21,2025-02-21,2025-04-16T21:03:05,"CAMERON, DANIEL",S,Senate,REP,REPUBLICAN PARTY,KY
2026,S6KY00377,False,N,[2026],00,0.0,['00'],[2026],False,2025-11-19,False,,O,Open seat,2025-11-19,2025-11-19,2025-12-30T21:00:52,"CAMPBELL, CHRISTOPHER TODD",S,Senate,OTH,OTHER,KY
2026,S6TX00545,False,C,[2026],00,0.0,['00'],[2026],False,2025-12-01,True,,C,Challenger,2025-12-01,2025-12-01,2026-01-30T21:02:20,"CANADY, SARA LARUE",S,Senate,REP,REPUBLICAN PARTY,TX
2026,S4WV00159,False,C,"[2012, 2014, 2016, 2018, 2020, 2022, 2024, 2026]",00,0.0,"['00', '00', '00']","[2014, 2020, 2026]",False,2012-12-06,True,,I,Incumbent,2025-12-17,2025-12-17,2025-12-17T21:02:31,"CAPITO, SHELLEY MOORE",S,Senate,REP,REPUBLICAN PARTY,WV
2026,S6GA00358,False,N,[2026],00,0.0,['00'],[2026],False,2025-04-09,False,,C,Challenger,2025-04-09,2025-04-23,2025-04-25T21:00:17,"CAPPARELL, CHRISTOPHER PAUL",S,Senate,REP,REPUBLICAN PARTY,GA
2026,S6IL00490,False,C,[2026],,,[None],[2026],False,2025-05-17,True,,O,Open seat,2025-05-17,2025-07-11,2026-01-29T21:02:11,"CAPPARELLI, R CARY",S,Senate,REP,REPUBLICAN PARTY,IL
2026,S4NJ00342,False,N,"[2022, 2024, 2026]",00,0.0,"['00', '00']","[2024, 2026]",False,2022-06-22,False,,C,Challenger,2024-06-17,2024-06-17,2025-01-10T21:01:11,"CARDUCCI, NICHOLAS MATTHEW",S,Senate,IND,INDEPENDENT,NJ
2026,S6IA00249,False,C,[2026],00,0.0,['00'],[2026],False,2025-02-20,True,,O,Open seat,2025-02-20,2025-02-20,2025-09-03T21:03:11,"CARLIN, JAMES",S,Senate,REP,REPUBLICAN PARTY,IA
2026,S6GA00374,False,C,[2026],00,0.0,['00'],[2026],False,2025-05-09,True,,C,Challenger,2025-05-09,2025-05-09,2025-06-09T20:59:02,"CARTER, EARL LEROY",S,Senate,REP,REPUBLICAN PARTY,GA
2026,S4LA00107,False,C,"[2014, 2016, 2018, 2020, 2022, 2024, 2026]",00,0.0,"['00', '00', '00']","[2014, 2020, 2026]",False,2013-04-16,True,,I,Incumbent,2025-05-07,2025-05-07,2025-05-07T20:59:48,"CASSIDY, WILLIAM M.",S,Senate,REP,REPUBLICAN PARTY,LA
2026,S0OK00420,False,N,"[2020, 2026]",00,0.0,"['00', '00']","[2020, 2026]",False,2020-04-17,False,,C,Challenger,2020-04-17,2020-05-07,2026-04-17T21:14:14,"CASSITY, R.O.",S,Senate,DEM,DEMOCRATIC PARTY,OK
